housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,energy_mark,area,availability_in,days_on_website,months_on_website,monthly_rent_log,monthly_aconto_log,deposit_log,prepaid_rent_log,total_monthly_rent_log
Værelse,13.0,1,2,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ja,Ikke angivet,Ikke angivet,C,Frederiksberg,<1 month,11.0,<1 month,8.853808274977197,0.0,9.546884034617925,0.0,8.853808274977197
Lejlighed,96.0,3,0,Nej,Ja,Ja,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,C,Gentofte,<1 month,11.0,<1 month,9.45727857185611,6.398594934535208,10.555838779903407,10.555838779903407,9.503084610020228
Lejlighed,95.0,4,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,D,Dragør,<1 month,11.0,<1 month,9.61587214452889,7.313886831633462,10.308985993422082,9.61587214452889,9.711176264112805
Lejlighed,74.0,3,1,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,D,København Ø,<1 month,11.0,<1 month,9.648659816955295,0.0,10.34177474101152,9.648659816955295,9.648659816955295
Lejlighed,80.0,2,2,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Nej,Ja,A10,Vanløse,1-3 months,12.0,<1 month,9.62911649414402,6.90875477931522,10.727684925086583,9.62911649414402,9.692828247710418
Lejlighed,41.0,1,3,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Ja,A10,Vanløse,1-3 months,12.0,<1 month,9.273409063443166,6.398594934535208,10.37195875822042,9.273409063443166,9.328212292571072
Lejlighed,94.0,4,2,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,none,København S,1-3 months,12.0,<1 month,9.648659816955295,6.90875477931522,10.747229096720554,9.648659816955295,9.711176264112805
Lejlighed,75.0,2,7,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Nej,Nej,Nej,none,København S,<1 month,12.0,<1 month,9.472781556562168,6.803505257608338,10.571342565808699,9.472781556562168,9.539716058977092
Lejlighed,100.0,4,1,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,C,Frederiksberg C,1-3 months,12.0,<1 month,9.825580063659602,7.0909098220799835,10.92415631759022,0.0,9.888424674859083
Lejlighed,91.0,2,4,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,none,København Ø,1-3 months,12.0,<1 month,9.770013301136158,6.898714534329988,10.868587496017359,9.770013301136158,9.825039406206987
Lejlighed,108.0,3,2,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,none,København V,<1 month,12.0,<1 month,9.830701782810475,7.0909098220799835,10.929278220832373,9.830701782810475,9.893235176071776
Lejlighed,108.0,4,4,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A20,Ballerup,3+ months,12.0,<1 month,9.510519035757246,6.90875477931522,10.609081944147828,9.510519035757246,9.581972891547895
Lejlighed,116.0,4,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,none,København S,1-3 months,12.0,<1 month,9.901034546375062,7.170888478512505,10.999613419284296,9.901034546375062,9.96415923206886
Lejlighed,116.0,4,3,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ja,Ja,Ikke angivet,Ikke angivet,Nej,Ikke angivet,none,Frederiksberg,<1 month,12.0,<1 month,9.724600092476456,6.93828448401696,10.823172517478298,10.823172517478298,9.784366121628265
Lejlighed,35.0,1,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ja,Nej,Ja,C,Rødovre,<1 month,12.0,<1 month,8.922791623969637,6.111467339502679,10.021315031649332,0.0,8.981052985901483
Lejlighed,33.0,1,1,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A15,Brønshøj,<1 month,12.0,<1 month,8.909370405197466,6.2166061010848646,10.007892611890918,8.909370405197466,8.974744612722734
Lejlighed,61.0,2,0,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A20,Ballerup,1-3 months,12.0,<1 month,9.287394001418473,6.68586094706836,10.385944565501662,9.287394001418473,9.358846580275406
Lejlighed,101.0,3,0,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Ja,A10,København SV,3+ months,12.0,<1 month,9.648659816955295,6.945051063725834,10.747229096720554,9.648659816955295,9.713416042282113
Lejlighed,41.0,1,0,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,A15,Valby,1-3 months,12.0,<1 month,8.787372988731876,6.135564891081739,9.885883506587767,8.787372988731876,8.855378246041125
